open_time,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume
2023-12-21 20:00:00,1317.6,1332.3,1316.7,1325.1,3221.195,4265518.5127,23520,1556.825,2061512.4653
2023-12-22 00:00:00,1325.1,1337.3,1320.4,1326.7,3162.655,4206542.1417,24633,1358.908,1807432.6969
2023-12-22 04:00:00,1326.9,1338.4,1318.9,1334.4,4000.769,5315065.32,30390,1968.968,2616781.5847
2023-12-22 08:00:00,1334.2,1355.2,1331.4,1354.4,4619.497,6199424.187,32101,2453.171,3293043.1351
2023-12-22 12:00:00,1354.5,1371.1,1351.6,1370.6,5585.019,7603984.806,36915,2664.292,3627564.7792
2023-12-22 16:00:00,1370.7,1391.2,1369.4,1376.1,5965.536,8236723.0997,38933,2949.368,4072138.3816
2023-12-22 20:00:00,1376.5,1393.2,1374.1,1392.3,2324.191,3216944.1096,18933,1168.66,1617687.1939
2023-12-23 00:00:00,1392.2,1400.3,1348.0,1353.3,5615.03,7741256.7957,40236,2360.69,3255774.6948
2023-12-23 04:00:00,1353.0,1363.4,1347.1,1348.8,2562.541,3473162.8303,21512,1150.433,1559777.8408
2023-12-23 08:00:00,1348.9,1357.3,1346.1,1350.4,1810.079,2445980.8888,15939,980.477,1325095.996
2023-12-23 12:00:00,1350.3,1372.3,1348.8,1370.1,2460.522,3344216.1933,17896,1370.948,1863853.2413
2023-12-23 16:00:00,1370.1,1382.2,1367.7,1380.1,3200.889,4400350.7286,23878,1561.694,2146651.4542
2023-12-23 20:00:00,1380.2,1387.5,1377.5,1383.6,1554.888,2148811.2693,14264,766.461,1059247.0682
2023-12-24 00:00:00,1383.6,1402.8,1381.8,1401.1,4009.499,5579234.8496,26014,2144.138,2984161.6775
2023-12-24 04:00:00,1401.2,1429.2,1387.5,1421.3,9141.242,12887494.0415,51861,4349.436,6133180.1644
2023-12-24 08:00:00,1421.2,1440.0,1405.6,1417.5,6040.26,8607555.2321,41816,2802.457,3994494.0034
2023-12-24 12:00:00,1417.4,1434.8,1413.4,1416.1,4345.674,6187045.8541,31111,2174.637,3096968.6602
2023-12-24 16:00:00,1416.0,1428.8,1412.4,1421.3,4122.022,5861088.3159,27040,1979.726,2814767.3114
2023-12-24 20:00:00,1421.4,1422.8,1371.1,1397.7,5408.771,7578322.2391,39534,2510.82,3517806.569
2023-12-25 00:00:00,1397.8,1420.6,1392.0,1413.4,3628.495,5110682.727,27877,1896.066,2670584.5512
2023-12-25 04:00:00,1413.4,1433.6,1413.4,1424.5,3753.697,5350170.7155,23109,1895.053,2700798.702
2023-12-25 08:00:00,1424.2,1428.4,1401.1,1409.7,3202.353,4524735.1618,24872,1362.733,1925056.1425
2023-12-25 12:00:00,1409.7,1425.1,1403.3,1424.2,3766.769,5321624.6301,26902,1947.054,2751780.0082
2023-12-25 16:00:00,1424.2,1429.6,1410.8,1414.5,3524.9,5014485.8299,30169,1746.276,2484582.1467
2023-12-25 20:00:00,1414.5,1417.8,1401.6,1407.3,2307.697,3254910.0008,21445,1109.659,1565176.9505
2023-12-26 00:00:00,1407.3,1422.6,1403.4,1420.6,2146.996,3034349.8681,17760,1144.908,1617908.8725
2023-12-26 04:00:00,1420.7,1430.4,1389.3,1417.6,15543.819,21941151.7421,62281,7901.268,11153205.2673
2023-12-26 08:00:00,1417.7,1445.8,1412.2,1441.7,6050.22,8629074.6312,39022,2890.328,4123537.3953
2023-12-26 12:00:00,1441.5,1459.6,1425.8,1428.2,6932.194,10008102.7432,43633,3224.86,4658096.988
2023-12-26 16:00:00,1428.6,1442.3,1358.0,1390.0,9443.968,13241569.5299,65219,4636.011,6504951.9899
2023-12-26 20:00:00,1389.9,1420.0,1389.0,1416.8,3356.246,4711801.9807,24795,1611.155,2261169.6195
2023-12-27 00:00:00,1416.9,1429.9,1396.9,1401.6,4639.497,6558992.89,36966,2229.401,3151885.5628
2023-12-27 04:00:00,1401.5,1443.8,1401.5,1424.5,5603.733,7998087.7504,41623,2655.03,3790131.3273
2023-12-27 08:00:00,1424.6,1494.7,1423.1,1488.2,10626.588,15576280.5645,69097,5402.343,7916888.0062
2023-12-27 12:00:00,1488.3,1497.7,1472.9,1491.6,7070.795,10503922.8406,49365,3317.442,4928840.8225
2023-12-27 16:00:00,1492.0,1507.0,1483.3,1498.1,6594.188,9868689.2448,40720,2923.351,4376546.2738
2023-12-27 20:00:00,1497.9,1547.5,1495.1,1531.8,8022.725,12172841.0118,46361,4382.63,6650056.0832
2023-12-28 00:00:00,1532.0,1620.8,1531.1,1619.3,17784.977,28237236.3708,105119,9555.893,15161456.938
2023-12-28 04:00:00,1619.5,1633.5,1582.2,1609.2,13502.182,21712911.074,83698,6491.064,10434811.792
2023-12-28 08:00:00,1609.4,1615.5,1582.6,1614.6,7594.836,12147071.0,49813,3840.696,6144101.3192
2023-12-28 12:00:00,1614.5,1658.6,1584.7,1590.2,28318.984,45912671.8092,161129,14342.974,23268734.8083
2023-12-28 16:00:00,1590.0,1610.3,1561.8,1574.4,9869.481,15625668.9791,73104,4631.799,7334435.1573
2023-12-28 20:00:00,1574.5,1578.9,1538.8,1560.9,8682.934,13534347.7118,60208,4152.472,6473683.8498
2023-12-29 00:00:00,1561.1,1581.0,1528.3,1548.8,8319.104,12913869.1894,59516,4039.989,6273077.4357
2023-12-29 04:00:00,1548.8,1553.3,1529.6,1531.8,3757.106,5796987.2571,32419,1828.217,2821764.5942
2023-12-29 08:00:00,1531.9,1583.4,1530.3,1572.9,4866.332,7601315.7356,37591,2424.446,3786277.0332
2023-12-29 12:00:00,1572.9,1594.2,1536.4,1549.7,7484.028,11772460.3648,55698,3262.945,5131401.2085
2023-12-29 16:00:00,1549.6,1560.0,1515.6,1555.6,6910.247,10613843.4833,55569,3454.74,5304937.834
2023-12-29 20:00:00,1555.5,1579.6,1538.5,1539.1,6304.147,9823273.545,45040,2834.656,4415616.4322
2023-12-30 00:00:00,1539.1,1569.6,1531.8,1536.8,5641.809,8725640.9236,43197,2675.75,4138315.9624
2023-12-30 04:00:00,1536.8,1566.6,1535.9,1550.3,2860.008,4446808.5796,26768,1441.599,2241323.3322
2023-12-30 08:00:00,1550.3,1559.7,1510.5,1559.5,8767.37,13436040.4022,66526,4324.152,6625141.1086
2023-12-30 12:00:00,1559.4,1632.7,1556.3,1614.3,15298.124,24377476.0281,83815,7444.139,11863634.461
2023-12-30 16:00:00,1614.2,1624.0,1586.9,1598.2,7434.868,11940002.9253,49771,3384.055,5432520.2425
2023-12-30 20:00:00,1598.3,1604.3,1579.8,1602.8,3014.694,4805270.5307,24835,1575.416,2511284.953
2023-12-31 00:00:00,1602.9,1618.2,1590.7,1612.9,6021.334,9660891.7135,40378,3128.542,5020222.4201
2023-12-31 04:00:00,1612.9,1618.5,1580.7,1584.3,4768.115,7613313.9095,33265,2190.302,3497550.1415
2023-12-31 08:00:00,1584.3,1640.3,1578.7,1634.6,7818.244,12595229.8331,52495,3817.39,6147140.1982
2023-12-31 12:00:00,1634.7,1679.3,1629.6,1662.4,12649.928,20890807.4442,74705,6074.18,10036360.0482
2023-12-31 16:00:00,1662.6,1764.0,1651.4,1726.2,18713.527,32074620.1815,117653,9639.486,16520600.8552
2023-12-31 20:00:00,1726.3,1750.0,1681.1,1701.4,10511.806,18093588.5334,82532,4884.495,8412346.8795
2024-01-01 00:00:00,1701.5,1764.3,1698.2,1708.7,13020.903,22650485.721,91427,6561.66,11422589.8448
2024-01-01 04:00:00,1708.6,1736.3,1690.9,1733.2,8876.045,15164761.9774,73121,4433.78,7579282.0941
2024-01-01 08:00:00,1733.3,1755.0,1713.7,1735.2,7943.224,13761577.785,69149,4054.653,7027023.6814
2024-01-01 12:00:00,1735.1,1735.2,1687.1,1687.4,6123.217,10455729.6232,50651,2963.35,5059414.5097
2024-01-01 16:00:00,1687.7,1692.3,1644.2,1668.6,8673.349,14448608.4196,70703,4512.065,7516473.0614
2024-01-01 20:00:00,1668.4,1679.2,1653.6,1654.2,4328.106,7206695.5904,41486,2225.2,3705032.7539
2024-01-02 00:00:00,1654.2,1679.0,1646.1,1651.1,5993.701,9944486.4813,56744,2837.078,4707365.4742
2024-01-02 04:00:00,1651.2,1665.4,1635.0,1643.8,6601.663,10881214.4613,60080,3005.868,4956953.3846
2024-01-02 08:00:00,1643.7,1672.2,1640.4,1654.9,5230.351,8660245.3895,48855,2666.318,4415399.4893
2024-01-02 12:00:00,1654.9,1687.1,1616.5,1620.0,9823.337,16257129.0221,81535,4755.296,7875371.8741
2024-01-02 16:00:00,1620.1,1881.0,1620.1,1864.9,43261.56,76158994.8744,279002,23477.283,41342178.5677
2024-01-02 20:00:00,1865.2,1933.5,1827.8,1831.9,43522.932,81858245.2404,328161,21103.587,39712527.8847
2024-01-03 00:00:00,1832.2,1852.4,1804.4,1824.6,11531.664,21089175.2721,96785,5460.169,9989301.293
2024-01-03 04:00:00,1824.5,1893.5,1810.5,1868.1,15189.813,28147120.9686,121969,7715.9,14299407.698
2024-01-03 08:00:00,1868.3,1898.8,1838.3,1857.5,21622.427,40577943.301,152208,10498.775,19706250.9486
2024-01-03 12:00:00,1857.7,1867.8,1438.0,1808.2,58742.57,102843675.873,391746,28824.324,50612458.7809
2024-01-03 16:00:00,1808.4,1910.0,1798.6,1883.5,27776.043,51700222.1344,212022,14337.106,26702145.1334
2024-01-03 20:00:00,1883.4,1961.0,1802.2,1807.6,23578.87,44741696.343,188030,12355.518,23477607.1968
2024-01-04 00:00:00,1807.7,1822.1,1753.3,1793.7,13575.967,24270447.1203,118198,6610.395,11818250.4117
2024-01-04 04:00:00,1793.7,1813.1,1731.3,1750.3,9237.618,16332795.3896,81183,4484.524,7929973.7706
2024-01-04 08:00:00,1750.5,1786.6,1720.0,1769.1,14957.623,26132883.6476,107270,7336.564,12815475.4241
2024-01-04 12:00:00,1768.9,1858.2,1767.2,1795.2,17938.866,32539344.1935,132884,8237.143,14942593.8795
2024-01-04 16:00:00,1795.6,1797.4,1761.6,1766.2,6260.453,11127279.3795,58873,2959.287,5258957.1919
2024-01-04 20:00:00,1766.3,1795.8,1758.2,1777.1,5990.256,10649405.0322,57356,2966.81,5275654.3101
2024-01-05 00:00:00,1777.6,1830.9,1764.2,1790.7,12982.509,23404929.8785,107643,6202.717,11184104.4288
2024-01-05 04:00:00,1790.9,1822.8,1779.4,1816.1,6841.762,12315847.689,57334,3206.639,5771456.6599
2024-01-05 08:00:00,1816.1,1816.1,1750.0,1759.5,8541.134,15214934.0111,72747,4205.213,7494672.819
2024-01-05 12:00:00,1759.6,1767.1,1695.9,1708.8,10532.013,18231035.429,86811,5242.387,9073714.4867
2024-01-05 16:00:00,1708.9,1720.5,1671.0,1694.8,7426.585,12627991.031,71123,3658.871,6223070.0503
2024-01-05 20:00:00,1694.7,1754.5,1690.6,1742.3,4765.464,8184181.3241,46884,2426.688,4165902.4313
2024-01-06 00:00:00,1742.3,1781.0,1723.2,1773.8,6403.761,11239892.3134,59350,3015.7,5294921.046
2024-01-06 04:00:00,1773.8,1780.0,1700.4,1712.4,7978.36,13839531.0467,77311,3974.379,6893838.3473
2024-01-06 08:00:00,1712.4,1757.3,1703.4,1718.3,5503.653,9546792.3952,53221,2643.533,4584331.4396
2024-01-06 12:00:00,1718.3,1755.9,1711.2,1742.7,5679.88,9842085.2122,52400,2761.316,4782343.6933
2024-01-06 16:00:00,1742.7,1767.1,1730.5,1745.5,3614.906,6327140.8271,44990,1743.087,3051102.412
2024-01-06 20:00:00,1745.5,1753.7,1691.8,1699.1,4189.34,7211106.4183,46009,2207.472,3797499.1647
2024-01-07 00:00:00,1699.3,1748.3,1694.9,1741.7,4080.235,7058970.0732,44348,1826.213,3159332.6964
2024-01-07 04:00:00,1741.8,1760.0,1734.5,1752.8,3117.976,5452778.9725,39344,1431.792,2503625.4392
2024-01-07 08:00:00,1752.8,1802.6,1739.2,1795.5,8161.423,14488133.7288,71279,4199.61,7451482.2845
2024-01-07 12:00:00,1795.3,1860.2,1785.1,1825.0,13406.065,24552442.1762,110470,6687.395,12245200.5304
2024-01-07 16:00:00,1825.0,1841.3,1796.2,1802.7,7450.4,13521176.9998,66125,3822.173,6936872.6376
2024-01-07 20:00:00,1802.5,1815.7,1721.7,1753.2,9569.462,16916276.6591,87506,4699.827,8312991.7842
2024-01-08 00:00:00,1753.0,1772.9,1704.5,1747.8,14893.577,25998591.766,131383,7555.676,13191488.0006
2024-01-08 04:00:00,1747.8,1845.2,1745.9,1816.3,19272.827,34877244.0449,158249,9369.883,16944764.3874
2024-01-08 08:00:00,1816.3,1845.8,1790.0,1796.3,11319.31,20582058.1878,91638,5615.48,10215012.0636
2024-01-08 12:00:00,1796.4,1815.1,1723.8,1761.6,17178.621,30359317.3739,122579,8513.672,15047038.1283
2024-01-08 16:00:00,1761.4,1908.9,1754.8,1899.3,15708.55,28568588.7755,136082,8165.925,14856608.0916
2024-01-08 20:00:00,1899.7,1977.9,1796.7,1820.3,23262.073,43990916.2515,175609,11599.833,21928470.7184
2024-01-09 00:00:00,1819.8,1849.8,1800.2,1840.9,7057.501,12923161.4192,67832,3389.279,6206003.8382
2024-01-09 04:00:00,1841.0,1877.0,1836.6,1859.0,5603.723,10430140.9726,53754,2678.642,4986042.7267
2024-01-09 08:00:00,1859.0,1863.7,1805.3,1824.5,6492.698,11874990.1151,63470,3112.198,5690071.285
2024-01-09 12:00:00,1824.5,1828.0,1759.0,1764.0,13477.215,24303116.1038,122092,6430.391,11598990.895
2024-01-09 16:00:00,1764.0,1801.9,1750.5,1781.2,7173.295,12737746.6713,68945,3717.774,6603188.6225
2024-01-09 20:00:00,1780.9,1876.8,1765.5,1846.9,19858.086,36325173.557,176680,9797.701,17919227.7119
2024-01-10 00:00:00,1846.8,1921.4,1841.4,1911.6,8413.742,15843514.3736,83572,4072.194,7673227.3617
2024-01-10 04:00:00,1911.3,1954.0,1897.0,1937.9,10748.579,20781611.9061,97637,5686.986,10998721.7528
2024-01-10 08:00:00,1938.3,1975.1,1929.8,1940.2,10843.301,21159674.7977,107675,5033.645,9825378.7681
2024-01-10 12:00:00,1939.6,2030.0,1908.0,1991.7,22986.314,45277516.799,211057,12262.744,24176920.1985
2024-01-10 16:00:00,1991.3,2037.6,1961.9,2008.8,14999.665,29949403.5189,148493,7175.476,14330536.8132
2024-01-10 20:00:00,2008.8,2048.0,1983.8,2039.0,16348.652,32938880.8666,186423,8089.556,16309603.5167
2024-01-11 00:00:00,2039.1,2047.3,2010.4,2040.6,7321.658,14858089.802,78562,3527.831,7160038.9795
2024-01-11 04:00:00,2040.4,2075.0,2030.0,2051.8,8538.073,17540551.7133,80277,4648.098,9547257.9335
2024-01-11 08:00:00,2051.6,2106.9,2030.0,2093.7,9295.499,19163616.3173,91258,4922.76,10157111.5931
2024-01-11 12:00:00,2093.7,2269.8,2076.6,2172.6,41132.736,90125233.7717,311939,21396.882,46808963.6901
2024-01-11 16:00:00,2173.0,2190.1,2112.3,2125.1,11907.75,25527140.3582,122377,5682.187,12178420.7697
2024-01-11 20:00:00,2125.2,2151.0,2103.1,2137.8,5482.558,11674218.148,62943,2659.27,5664150.8437
2024-01-12 00:00:00,2137.8,2159.3,2089.6,2089.9,6192.749,13101021.1649,70335,2998.997,6343332.827
2024-01-12 04:00:00,2089.9,2137.4,2081.1,2120.0,5969.592,12605077.0343,62416,3067.482,6478150.4219
2024-01-12 08:00:00,2120.0,2180.8,2092.2,2164.9,9640.343,20540507.0908,88318,5004.788,10665526.3475
